feature,importance
cat__ORIGIN_TVC,0.0
cat__ORIGIN_TWF,0.0
cat__ORIGIN_TXK,0.0
cat__ORIGIN_TYR,0.0
cat__ORIGIN_TYS,0.0
cat__ORIGIN_USA,0.0
cat__ORIGIN_VCT,0.0
cat__ORIGIN_VPS,0.0
cat__ORIGIN_WRG,0.0
cat__ORIGIN_XNA,0.0
cat__ORIGIN_XWA,0.0
cat__ORIGIN_YAK,0.0
cat__ORIGIN_YUM,0.0
cat__DEST_ABE,0.0
cat__DEST_ABI,0.0
cat__DEST_ABQ,0.0
cat__DEST_ABR,0.0
cat__DEST_ABY,0.0
cat__DEST_ACT,0.0
cat__DEST_ACV,0.0
cat__DEST_ACY,0.0
cat__DEST_ADK,0.0
cat__DEST_ADQ,0.0
cat__DEST_AEX,0.0
cat__DEST_AGS,0.0
cat__DEST_ALB,0.0
cat__DEST_AMA,0.0
cat__DEST_APN,0.0
cat__DEST_ASE,0.0
cat__DEST_ATW,0.0
cat__DEST_AVL,0.0
cat__DEST_AVP,0.0
cat__DEST_AZA,0.0
cat__DEST_AZO,0.0
cat__DEST_BDL,0.0
cat__DEST_BET,0.0
cat__DEST_BFF,0.0
cat__DEST_BFL,0.0
cat__DEST_BGR,0.0
cat__DEST_BHM,0.0
cat__DEST_BIH,0.0
cat__DEST_BIL,0.0
cat__DEST_BIS,0.0
cat__DEST_BJI,0.0
cat__DEST_BLI,0.0
cat__DEST_BLV,0.0
cat__DEST_BMI,0.0
cat__DEST_BOI,0.0
cat__DEST_BPT,0.0
cat__DEST_BQN,0.0
cat__DEST_BRD,0.0
cat__DEST_BRO,0.0
cat__DEST_BRW,0.0
cat__DEST_BTM,0.0
cat__DEST_BTR,0.0
cat__DEST_BTV,0.0
cat__DEST_BUF,0.0
cat__DEST_BUR,0.0
cat__DEST_BZN,0.0
cat__DEST_CAE,0.0
cat__DEST_CAK,0.0
cat__DEST_CDC,0.0
cat__DEST_CDV,0.0
cat__DEST_CHA,0.0
cat__DEST_CHO,0.0
cat__DEST_CHS,0.0
cat__DEST_CID,0.0
cat__DEST_CIU,0.0
cat__DEST_CKB,0.0
cat__DEST_CLE,0.0
cat__DEST_CLL,0.0
cat__DEST_CMH,0.0
cat__DEST_CMI,0.0
cat__DEST_CMX,0.0
cat__DEST_COD,0.0
cat__DEST_COS,0.0
cat__DEST_COU,0.0
cat__DEST_CPR,0.0
cat__DEST_CRP,0.0
cat__DEST_CRW,0.0
cat__DEST_CVG,0.0
cat__DEST_CYS,0.0
cat__DEST_DAB,0.0
cat__DEST_DAY,0.0
cat__DEST_DDC,0.0
cat__DEST_DEC,0.0
cat__DEST_DIK,0.0
cat__DEST_DLH,0.0
cat__DEST_DRO,0.0
cat__DEST_DSM,0.0
cat__DEST_DVL,0.0
cat__DEST_EAR,0.0
cat__DEST_EAU,0.0
cat__DEST_ECP,0.0
cat__DEST_EGE,0.0
cat__DEST_EKO,0.0
cat__DEST_ELM,0.0
cat__DEST_ELP,0.0
cat__DEST_ESC,0.0
cat__DEST_EUG,0.0
cat__DEST_EVV,0.0
cat__DEST_EYW,0.0
cat__DEST_FAI,0.0
cat__DEST_FAR,0.0
cat__DEST_FAT,0.0
cat__DEST_FAY,0.0
cat__DEST_FCA,0.0
cat__DEST_FLG,0.0
cat__DEST_FNT,0.0
cat__DEST_FOD,0.0
cat__DEST_FSD,0.0
cat__DEST_FSM,0.0
cat__DEST_FWA,0.0
cat__DEST_GCC,0.0
cat__DEST_GCK,0.0
cat__DEST_GEG,0.0
cat__DEST_GFK,0.0
cat__DEST_GGG,0.0
cat__DEST_GJT,0.0
cat__DEST_GNV,0.0
cat__DEST_GPT,0.0
cat__DEST_GRB,0.0
cat__DEST_GRI,0.0
cat__DEST_GRK,0.0
cat__DEST_GRR,0.0
cat__DEST_GSO,0.0
cat__DEST_GSP,0.0
cat__DEST_GTF,0.0
cat__DEST_GUC,0.0
cat__DEST_GUM,0.0
cat__DEST_HDN,0.0
cat__DEST_HGR,0.0
cat__DEST_HHH,0.0
cat__DEST_HIB,0.0
cat__DEST_HLN,0.0
cat__DEST_HOB,0.0
cat__DEST_HPN,0.0
cat__DEST_HRL,0.0
cat__DEST_HSV,0.0
cat__DEST_HTS,0.0
cat__DEST_HYS,0.0
cat__DEST_IAG,0.0
cat__DEST_ICT,0.0
cat__DEST_IDA,0.0
cat__DEST_ILM,0.0
cat__DEST_IMT,0.0
cat__DEST_IND,0.0
cat__DEST_INL,0.0
cat__DEST_ISP,0.0
cat__DEST_ITO,0.0
cat__DEST_JAC,0.0
cat__DEST_JAN,0.0
cat__DEST_JAX,0.0
cat__DEST_JLN,0.0
cat__DEST_JMS,0.0
cat__DEST_JNU,0.0
cat__DEST_JST,0.0
cat__DEST_KOA,0.0
cat__DEST_KTN,0.0
cat__DEST_LAN,0.0
cat__DEST_LAR,0.0
cat__DEST_LAW,0.0
cat__DEST_LBB,0.0
cat__DEST_LBE,0.0
cat__DEST_LBF,0.0
cat__DEST_LBL,0.0
cat__DEST_LCH,0.0
cat__DEST_LCK,0.0
cat__DEST_LEX,0.0
cat__DEST_LFT,0.0
cat__DEST_LGB,0.0
cat__DEST_LIH,0.0
cat__DEST_LIT,0.0
cat__DEST_LNK,0.0
cat__DEST_LRD,0.0
cat__DEST_LSE,0.0
cat__DEST_LWS,0.0
cat__DEST_MAF,0.0
cat__DEST_MBS,0.0
cat__DEST_MCI,0.0
cat__DEST_MCW,0.0
cat__DEST_MDT,0.0
cat__DEST_MEI,0.0
cat__DEST_MEM,0.0
cat__DEST_MFE,0.0
cat__DEST_MFR,0.0
cat__DEST_MGM,0.0
cat__DEST_MGW,0.0
cat__DEST_MHK,0.0
cat__DEST_MHT,0.0
cat__DEST_MKE,0.0
cat__DEST_MLB,0.0
cat__DEST_MLI,0.0
cat__DEST_MLU,0.0
cat__DEST_MOB,0.0
cat__DEST_MOT,0.0
cat__DEST_MQT,0.0
cat__DEST_MRY,0.0
cat__DEST_MSN,0.0
cat__DEST_MSO,0.0
cat__DEST_MTJ,0.0
cat__DEST_MYR,0.0
cat__DEST_OAJ,0.0
cat__DEST_OAK,0.0
cat__DEST_OKC,0.0
cat__DEST_OMA,0.0
cat__DEST_OME,0.0
cat__DEST_ONT,0.0
cat__DEST_ORF,0.0
cat__DEST_ORH,0.0
cat__DEST_OTH,0.0
cat__DEST_OTZ,0.0
cat__DEST_PAE,0.0
cat__DEST_PBG,0.0
cat__DEST_PDX,0.0
cat__DEST_PGD,0.0
cat__DEST_PHL,0.0
cat__DEST_PIA,0.0
cat__DEST_PIB,0.0
cat__DEST_PIE,0.0
cat__DEST_PIH,0.0
cat__DEST_PIT,0.0
cat__DEST_PLN,0.0
cat__DEST_PNS,0.0
cat__DEST_PPG,0.0
cat__DEST_PQI,0.0
cat__DEST_PRC,0.0
cat__DEST_PSC,0.0
cat__DEST_PSE,0.0
cat__DEST_PSG,0.0
cat__DEST_PSM,0.0
cat__DEST_PSP,0.0
cat__DEST_PVD,0.0
cat__DEST_PVU,0.0
cat__DEST_PWM,0.0
cat__DEST_RAP,0.0
cat__DEST_RDD,0.0
cat__DEST_RDM,0.0
cat__DEST_RDU,0.0
cat__DEST_RFD,0.0
cat__DEST_RHI,0.0
cat__DEST_RIC,0.0
cat__DEST_RIW,0.0
cat__DEST_RKS,0.0
cat__DEST_RNO,0.0
cat__DEST_ROA,0.0
cat__DEST_ROC,0.0
cat__DEST_ROW,0.0
cat__DEST_RST,0.0
cat__DEST_SAF,0.0
cat__DEST_SAT,0.0
cat__DEST_SAV,0.0
cat__DEST_SBA,0.0
cat__DEST_SBN,0.0
cat__DEST_SBP,0.0
cat__DEST_SCC,0.0
cat__DEST_SCE,0.0
cat__DEST_SCK,0.0
cat__DEST_SDF,0.0
cat__DEST_SFB,0.0
cat__DEST_SGF,0.0
cat__DEST_SGU,0.0
cat__DEST_SHR,0.0
cat__DEST_SHV,0.0
cat__DEST_SIT,0.0
cat__DEST_SJC,0.0
cat__DEST_SJT,0.0
cat__DEST_SJU,0.0
cat__DEST_SLC,0.0
cat__DEST_SLN,0.0
cat__DEST_SMF,0.0
cat__DEST_SMX,0.0
cat__DEST_SNA,0.0
cat__DEST_SPI,0.0
cat__DEST_SPN,0.0
cat__DEST_SPS,0.0
cat__DEST_SRQ,0.0
cat__DEST_STC,0.0
cat__DEST_STS,0.0
cat__DEST_STT,0.0
cat__DEST_STX,0.0
cat__DEST_SUN,0.0
cat__DEST_SUX,0.0
cat__DEST_SWF,0.0
cat__DEST_SWO,0.0
cat__DEST_SYR,0.0
cat__DEST_TLH,0.0
cat__DEST_TOL,0.0
cat__DEST_TRI,0.0
cat__DEST_TTN,0.0
cat__DEST_TUL,0.0
cat__DEST_TUS,0.0
cat__DEST_TVC,0.0
cat__DEST_TWF,0.0
cat__DEST_TXK,0.0
cat__DEST_TYR,0.0
cat__DEST_TYS,0.0
cat__DEST_USA,0.0
cat__DEST_VCT,0.0
cat__DEST_VPS,0.0
cat__DEST_WRG,0.0
cat__DEST_XNA,0.0
cat__DEST_XWA,0.0
cat__DEST_YAK,0.0
cat__DEST_YUM,0.0
cat__DEP_TIME_BLK_0001-0559,0.0
cat__DEP_TIME_BLK_1300-1359,0.0
cat__DEP_TIME_BLK_1700-1759,0.0
cat__DEP_TIME_BLK_2100-2159,0.0
cat__DEP_TIME_BLK_2200-2259,0.0
cat__DEP_TIME_BLK_2300-2359,0.0
cat__ROUTE_ABE-BNA,0.0
cat__ROUTE_ABE-CLT,0.0
cat__ROUTE_ABE-FLL,0.0
cat__ROUTE_ABE-MCO,0.0
cat__ROUTE_ABE-MLB,0.0
cat__ROUTE_ABE-MYR,0.0
cat__ROUTE_ABE-PGD,0.0
cat__ROUTE_ABE-PIE,0.0
cat__ROUTE_ABE-SFB,0.0
cat__ROUTE_ABE-SRQ,0.0
cat__ROUTE_ABI-DFW,0.0
cat__ROUTE_ABQ-ATL,0.0
cat__ROUTE_ABQ-AUS,0.0
cat__ROUTE_ABQ-BUR,0.0
cat__ROUTE_ABQ-BWI,0.0
cat__ROUTE_ABQ-DAL,0.0
cat__ROUTE_ABQ-DEN,0.0
cat__ROUTE_ABQ-DFW,0.0
cat__ROUTE_ABQ-HOU,0.0
cat__ROUTE_ABQ-IAH,0.0
cat__ROUTE_ABQ-LAS,0.0
cat__ROUTE_ABQ-LAX,0.0
cat__ROUTE_ABQ-LGB,0.0
cat__ROUTE_ABQ-MCI,0.0
cat__ROUTE_ABQ-MCO,0.0
cat__ROUTE_ABQ-MDW,0.0
